FechaHora,Emocion,Confianza (%)
2025-04-06 17:44:37,neutral,97.0
2025-04-06 17:44:38,neutral,88.0
2025-04-06 17:44:38,neutral,91.0
2025-04-06 17:44:38,neutral,92.0
2025-04-06 17:44:38,neutral,86.0
2025-04-06 17:44:38,neutral,88.0
2025-04-06 17:44:39,neutral,86.0
2025-04-06 17:44:39,neutral,89.0
2025-04-06 17:44:39,neutral,81.0
2025-04-06 17:44:39,neutral,79.0
2025-04-06 17:44:39,neutral,77.0
2025-04-06 17:44:40,neutral,83.0
2025-04-06 17:44:40,neutral,91.0
2025-04-06 17:44:41,neutral,91.0
2025-04-06 17:44:41,neutral,90.0
2025-04-06 17:44:41,neutral,89.0
2025-04-06 17:44:41,neutral,91.0
2025-04-06 17:44:41,neutral,91.0
2025-04-06 17:44:42,neutral,87.0
2025-04-06 17:44:42,happy,73.0
2025-04-06 17:44:42,neutral,64.0
2025-04-06 17:44:42,neutral,63.0
2025-04-06 17:44:43,neutral,66.0
2025-04-06 17:44:43,neutral,92.0
2025-04-06 17:44:43,neutral,77.0
2025-04-06 17:44:43,neutral,85.0
2025-04-06 17:44:44,neutral,80.0
2025-04-06 17:44:44,neutral,82.0
2025-04-06 17:44:44,neutral,63.0
2025-04-06 17:44:44,neutral,61.0
2025-04-06 17:44:45,happy,68.0
2025-04-06 17:44:45,happy,78.0
2025-04-06 17:44:45,happy,90.0
2025-04-06 17:44:46,happy,98.0
2025-04-06 17:44:46,happy,97.0
2025-04-06 17:44:46,happy,96.0
2025-04-06 17:44:46,happy,96.0
2025-04-06 17:44:46,happy,98.0
2025-04-06 17:44:46,happy,94.0
2025-04-06 17:44:46,happy,95.0
2025-04-06 17:44:46,happy,97.0
2025-04-06 17:44:47,happy,96.0
2025-04-06 17:44:47,happy,96.0
2025-04-06 17:44:47,happy,96.0
2025-04-06 17:44:47,happy,98.0
2025-04-06 17:44:47,happy,98.0
2025-04-06 17:44:47,happy,91.0
2025-04-06 17:44:47,happy,91.0
2025-04-06 17:44:48,happy,96.0
2025-04-06 17:44:48,happy,84.0
2025-04-06 17:44:48,happy,78.0
2025-04-06 17:44:48,happy,91.0
2025-04-06 17:44:48,happy,89.0
2025-04-06 17:44:48,happy,96.0
2025-04-06 17:44:48,happy,93.0
2025-04-06 17:44:48,happy,81.0
2025-04-06 17:44:49,happy,81.0
2025-04-06 17:44:49,happy,94.0
2025-04-06 17:44:49,happy,62.0
2025-04-06 17:44:49,happy,61.0
2025-04-06 17:44:49,neutral,86.0
2025-04-06 17:44:49,neutral,74.0
2025-04-06 17:44:49,neutral,85.0
2025-04-06 17:44:49,neutral,91.0
2025-04-06 17:44:50,neutral,85.0
2025-04-06 17:44:53,sad,67.0
2025-04-06 17:44:54,surprise,81.0
2025-04-06 17:44:54,surprise,64.0
2025-04-06 17:44:54,surprise,80.0
2025-04-06 17:44:54,surprise,80.0
2025-04-06 17:44:55,surprise,66.0
2025-04-06 17:44:55,surprise,78.0
2025-04-06 17:44:55,surprise,75.0
2025-04-06 17:44:56,neutral,71.0
2025-04-06 17:44:56,neutral,78.0
2025-04-06 17:44:56,neutral,79.0
2025-04-06 17:44:56,neutral,62.0
2025-04-06 17:44:56,neutral,68.0
2025-04-06 17:44:56,neutral,79.0
2025-04-06 17:44:56,neutral,79.0
2025-04-06 17:44:57,sad,73.0
2025-04-06 17:44:57,sad,74.0
2025-04-06 17:44:58,sad,73.0
2025-04-06 17:44:58,sad,70.0
2025-04-06 17:44:58,sad,66.0
2025-04-06 17:44:58,sad,72.0
2025-04-06 17:44:58,sad,62.0
2025-04-06 17:44:59,sad,62.0
2025-04-06 17:44:59,neutral,71.0
2025-04-06 17:44:59,neutral,85.0
2025-04-06 17:44:59,neutral,87.0
2025-04-06 17:44:59,neutral,86.0
2025-04-06 17:44:59,neutral,82.0
2025-04-06 17:45:00,neutral,93.0
2025-04-06 17:45:00,neutral,92.0
2025-04-06 17:45:00,neutral,92.0
2025-04-06 17:45:00,neutral,75.0
2025-04-06 17:45:00,neutral,82.0
2025-04-06 17:45:00,neutral,82.0
2025-04-06 17:45:00,neutral,86.0
2025-04-06 17:45:00,neutral,79.0
2025-04-06 17:45:01,neutral,86.0
2025-04-06 17:45:01,neutral,83.0
2025-04-06 17:45:01,neutral,83.0
2025-04-06 17:45:01,neutral,77.0
2025-04-06 17:45:01,neutral,85.0
2025-04-06 17:45:01,neutral,67.0
2025-04-06 17:45:01,neutral,69.0
2025-04-06 17:45:02,neutral,72.0
2025-04-06 17:45:02,neutral,80.0
2025-04-06 17:45:02,neutral,81.0
2025-04-06 17:45:02,neutral,84.0
2025-04-06 17:45:02,neutral,88.0
2025-04-06 17:45:02,neutral,85.0
2025-04-06 17:45:02,neutral,84.0
2025-04-06 17:45:03,neutral,89.0
2025-04-06 17:45:03,neutral,71.0
2025-04-06 17:45:03,neutral,67.0
2025-04-06 17:45:04,neutral,68.0
2025-04-06 17:45:04,neutral,64.0
2025-04-06 17:45:04,neutral,80.0
2025-04-06 17:45:04,neutral,65.0
2025-04-06 17:45:04,neutral,73.0
2025-04-06 17:45:04,neutral,67.0
2025-04-06 17:45:04,neutral,67.0
2025-04-06 17:45:04,neutral,66.0
2025-04-06 17:45:04,neutral,63.0
2025-04-06 17:45:05,neutral,61.0
2025-04-06 17:45:06,neutral,73.0
2025-04-06 17:45:06,neutral,76.0
2025-04-06 17:45:06,neutral,62.0
2025-04-06 17:45:06,happy,89.0
2025-04-06 17:45:06,happy,93.0
2025-04-06 17:45:06,happy,96.0
2025-04-06 17:45:06,happy,95.0
2025-04-06 17:45:07,happy,95.0
2025-04-06 17:45:07,happy,98.0
2025-04-06 17:45:07,happy,97.0
2025-04-06 17:45:07,happy,95.0
2025-04-06 17:45:07,happy,95.0
2025-04-06 17:45:07,happy,96.0
2025-04-06 17:45:07,happy,96.0
2025-04-06 17:45:07,happy,98.0
2025-04-06 17:45:07,happy,97.0
2025-04-06 17:45:08,happy,93.0
2025-04-06 17:45:08,happy,83.0
2025-04-06 17:45:08,happy,80.0
2025-04-06 17:45:08,happy,77.0
2025-04-06 17:45:08,happy,71.0
2025-04-06 17:45:11,sad,69.0
2025-04-06 17:45:11,sad,70.0
2025-04-06 17:45:11,sad,68.0
2025-04-06 17:45:11,sad,71.0
2025-04-06 17:45:11,sad,69.0
2025-04-06 17:45:11,sad,71.0
2025-04-06 17:45:12,sad,74.0
2025-04-06 17:45:12,sad,73.0
2025-04-06 17:45:12,sad,64.0
2025-04-06 17:45:12,sad,68.0
2025-04-06 17:45:12,sad,66.0
2025-04-06 17:45:16,neutral,67.0
2025-04-06 17:45:17,neutral,61.0
2025-04-06 17:45:17,neutral,74.0
2025-04-06 17:45:17,neutral,73.0
2025-04-06 17:45:17,neutral,84.0
2025-04-06 17:45:17,neutral,91.0
2025-04-06 17:45:17,neutral,96.0
2025-04-06 17:45:17,neutral,91.0
2025-04-06 17:45:18,neutral,95.0
2025-04-06 17:45:18,neutral,94.0
2025-04-06 17:45:18,neutral,89.0
2025-04-06 17:45:18,neutral,93.0
2025-04-06 17:45:18,neutral,87.0
2025-04-06 17:45:18,neutral,89.0
2025-04-06 17:45:18,neutral,90.0
2025-04-06 17:45:18,neutral,93.0
2025-04-06 17:45:18,neutral,91.0
2025-04-06 17:45:19,neutral,94.0
2025-04-06 17:45:19,neutral,94.0
2025-04-06 17:45:19,neutral,91.0
2025-04-06 17:45:19,neutral,97.0
2025-04-06 17:45:19,neutral,92.0
2025-04-06 17:45:19,neutral,94.0
2025-04-06 17:45:19,neutral,88.0
2025-04-06 17:45:19,neutral,92.0
2025-04-06 17:45:20,neutral,96.0
2025-04-06 17:45:20,neutral,93.0
2025-04-06 17:45:20,neutral,93.0
2025-04-06 17:45:20,neutral,91.0
2025-04-06 17:45:20,neutral,92.0
2025-04-06 17:45:20,neutral,93.0
2025-04-06 17:45:20,neutral,93.0
2025-04-06 17:45:21,neutral,86.0
2025-04-06 17:45:21,neutral,91.0
2025-04-06 17:45:21,neutral,90.0
2025-04-06 17:45:21,neutral,92.0
2025-04-06 17:45:21,neutral,94.0
2025-04-06 17:45:21,neutral,93.0
2025-04-06 17:45:21,neutral,93.0
2025-04-06 17:45:22,neutral,88.0
2025-04-06 17:45:22,neutral,89.0
2025-04-06 17:45:22,neutral,91.0
2025-04-06 17:45:22,neutral,88.0
2025-04-06 17:45:22,neutral,87.0
2025-04-06 17:45:22,neutral,82.0
2025-04-06 17:45:23,neutral,88.0
2025-04-06 17:45:23,neutral,81.0
2025-04-06 17:45:23,neutral,88.0
2025-04-06 17:45:23,neutral,86.0
2025-04-06 17:45:23,neutral,83.0
2025-04-06 17:45:23,neutral,63.0
2025-04-06 17:45:24,neutral,72.0
2025-04-06 17:45:24,neutral,73.0
